_TITLE1 TOTAL INTER INTRA RESTR VDW
ZINC00590563 -27.887 -23.414 -1.360 0.000 -28.702
ZINC00592441 -17.955 -15.517 0.837 0.000 -27.192
ZINC00594984 -23.517 -23.586 -0.211 0.000 -29.059
ZINC00624649 -25.243 -19.171 -2.752 0.000 -28.412
ZINC00625916 -20.091 -19.613 2.808 0.000 -28.021
ZINC00625974 -18.843 -15.934 -0.980 0.000 -25.350
ZINC00626077 -17.034 -13.310 -0.418 0.000 -26.977
ZINC00626080 -13.648 -10.356 -0.107 0.000 -25.756
ZINC00626133 -18.535 -16.337 1.159 0.000 -27.769
ZINC00626136 -16.186 -16.079 3.306 0.000 -24.974
ZINC00626142 -15.631 -12.847 0.488 0.000 -23.980
ZINC00626144 -19.893 -15.175 -1.353 0.000 -26.395
ZINC00626346 -20.927 -15.327 -2.220 0.000 -25.091
ZINC00627952 -16.861 -13.362 -1.593 0.000 -26.407
ZINC00628060 -18.194 -21.053 2.619 0.000 -30.133
ZINC00628259 -20.201 -10.998 -5.983 0.000 -22.603
ZINC00628689 -24.989 -16.416 -5.347 0.000 -28.416
ZINC00628695 -23.552 -16.476 -3.918 0.000 -26.418
ZINC00628769 -25.908 -18.326 -4.334 0.000 -30.326
ZINC00628792 -23.405 -22.426 2.322 0.000 -27.096
ZINC00629922 -20.302 -13.108 -3.786 0.000 -28.508
ZINC00629927 -19.527 -16.877 0.654 0.036 -28.236
ZINC00630751 -23.836 -20.692 0.203 0.000 -28.603
ZINC00633094 -19.740 -16.308 -0.073 0.000 -23.703
ZINC00633097 -17.728 -16.802 1.018 0.000 -28.832
ZINC00634871 -26.243 -13.793 -9.184 0.000 -27.194
ZINC00634874 -37.713 -13.064 -21.243 0.000 -26.464
ZINC00637263 -24.020 -24.065 3.146 0.000 -27.047
ZINC00637847 -19.676 -13.914 -2.559 0.000 -23.678
ZINC00637852 -20.083 -17.568 0.722 0.000 -27.973
ZINC00645197 -21.192 -15.677 -2.114 0.000 -27.079
ZINC00645607 -25.482 -23.157 1.002 0.000 -30.728
ZINC00645879 -24.160 -18.203 -2.650 0.000 -28.032
ZINC00648071 -22.962 -19.769 0.137 0.000 -27.144
ZINC00648269 -25.186 -22.254 0.320 0.000 -27.586
ZINC00648271 -19.692 -15.820 -0.689 0.000 -24.801
ZINC00648274 -20.901 -16.982 -1.942 0.000 -28.288
ZINC00648583 -25.477 -18.454 -5.089 0.000 -27.427
ZINC00648764 -26.660 -21.931 -1.399 0.000 -26.657
ZINC00649330 -21.101 -17.365 -1.803 0.000 -28.649
ZINC00649353 -26.792 -20.957 -2.582 0.000 -28.703
ZINC00649879 -23.615 -17.417 -2.842 0.000 -24.089
ZINC00649899 -20.125 -13.845 -3.009 0.000 -26.216
ZINC00650399 -24.752 -15.751 -5.633 0.000 -29.149
ZINC00650476 -17.177 -20.289 2.719 0.000 -30.129
ZINC00650615 -18.171 -12.595 -2.342 0.000 -24.549
ZINC00650744 -21.717 -16.577 -1.805 0.000 -24.874
ZINC00650770 -23.745 -18.951 -1.488 0.000 -28.502
ZINC00650815 -24.745 -18.651 -2.802 0.000 -27.455
ZINC00650893 -27.488 -16.142 -11.735 0.000 -25.322
ZINC00650916 -25.824 -25.164 -1.045 0.000 -28.763
ZINC00653467 -15.409 -12.497 0.456 0.008 -24.873
ZINC00653468 -12.268 -6.492 -2.499 0.000 -19.513
ZINC00653470 -29.579 -22.799 -3.508 0.000 -31.816
ZINC00654677 -25.741 -17.994 -4.371 0.000 -26.780
ZINC00654679 -22.012 -15.838 -2.886 0.000 -27.881
ZINC00654693 -15.912 -19.521 3.240 0.000 -32.795
ZINC00656564 -26.670 -24.373 1.046 0.000 -29.320
ZINC00658274 -13.015 -13.762 4.059 0.000 -22.175
ZINC00661092 -19.380 -16.924 0.909 0.000 -27.135
ZINC00661095 -22.816 -18.980 -0.586 0.000 -26.955
ZINC00665960 -19.795 -17.898 1.378 0.001 -27.565
ZINC00665970 -22.717 -23.906 0.889 0.000 -27.885
ZINC00666021 -19.928 -19.375 2.310 0.001 -28.393
ZINC00667976 -21.388 -16.689 -1.398 0.000 -25.555
ZINC00667978 -20.955 -17.569 -0.003 0.000 -27.879
ZINC00667980 -19.313 -10.688 -5.359 0.000 -23.837
ZINC00667981 -20.430 -21.427 4.397 0.000 -29.042
ZINC00670370 -20.783 -16.648 -0.809 0.000 -31.048
ZINC00670899 -20.296 -17.546 0.649 0.000 -28.797
ZINC00671476 -20.988 -18.496 -0.577 0.000 -26.047
ZINC00673266 -25.654 -22.978 0.512 0.000 -33.110
ZINC00674038 -18.531 -11.876 -3.360 0.000 -24.312
ZINC00674756 -21.979 -19.470 0.753 0.000 -27.122
ZINC00676660 -14.477 -16.378 5.099 0.000 -22.113
ZINC00676709 -26.074 -23.521 0.731 0.000 -28.061
ZINC00676747 -23.623 -18.848 -1.435 0.000 -24.383
ZINC00678045 -24.988 -24.195 2.613 0.000 -27.459
ZINC00678263 -18.034 -18.422 3.616 0.000 -30.697
ZINC00678568 -15.015 -17.349 1.803 0.000 -29.994
ZINC00679997 -18.131 -10.838 -4.103 0.000 -20.781
ZINC00680046 -27.398 -27.379 3.121 0.000 -30.505
ZINC00680501 -26.545 -18.725 -4.512 0.000 -30.770
ZINC00682609 -21.434 -21.107 3.055 0.000 -26.944
ZINC00687389 -28.242 -18.674 -6.183 0.000 -27.009
ZINC00688216 -24.471 -20.337 -0.705 0.000 -26.232
ZINC00689145 -28.323 -28.074 3.047 0.000 -32.868
ZINC00691750 -25.533 -22.733 0.451 0.000 -32.417
ZINC00691756 -27.970 -21.264 -3.418 0.000 -30.616
ZINC00692012 -21.250 -14.906 -3.099 0.000 -29.306
ZINC00692107 -23.185 -17.644 -3.684 0.000 -28.768
ZINC00694048 -23.078 -16.815 -2.931 0.015 -27.582
ZINC00694052 -28.394 -24.349 -0.676 0.000 -28.787
ZINC00695244 -25.038 -22.434 0.667 0.000 -33.678
ZINC00695432 -25.765 -20.950 -1.609 0.000 -28.397
ZINC00695436 -16.953 -22.806 9.152 0.000 -32.873
ZINC00695438 -16.190 -16.938 4.067 0.000 -27.489
ZINC00695508 -28.771 -22.079 -3.368 0.000 -30.282
ZINC00695509 -22.301 -23.446 2.887 0.000 -27.884
ZINC00695548 -22.839 -16.304 -3.217 0.000 -23.942
ZINC00695571 -24.777 -20.952 -0.544 0.000 -31.241
ZINC00695572 -21.176 -22.063 0.534 0.000 -27.411
ZINC00695573 -21.379 -20.009 1.867 0.000 -25.724
ZINC00695574 -25.843 -20.681 -2.174 0.000 -27.347
ZINC00695608 -21.073 -22.129 0.750 0.000 -28.690
ZINC00695609 -20.252 -21.107 2.757 0.000 -34.034
ZINC00695762 -24.246 -21.914 0.439 0.000 -29.059
ZINC00695763 -15.878 -14.730 2.213 0.000 -24.889
ZINC00695768 -23.959 -19.730 -0.934 0.000 -27.969
ZINC00698546 -19.519 -16.215 -0.092 0.000 -22.014
