PLANTS_LIGAND_DESCRIPTION,OLD_LIGAND_DESCRIPTION
ZINC00590563_entry_00001_conf_01,ZINC00590563
ZINC00590563_entry_00001_conf_02,ZINC00590563
ZINC00590563_entry_00001_conf_03,ZINC00590563
ZINC00590563_entry_00001_conf_04,ZINC00590563
ZINC00590563_entry_00001_conf_05,ZINC00590563
ZINC00590563_entry_00001_conf_06,ZINC00590563
ZINC00590563_entry_00001_conf_07,ZINC00590563
ZINC00590563_entry_00001_conf_08,ZINC00590563
ZINC00590563_entry_00001_conf_09,ZINC00590563
ZINC00590563_entry_00001_conf_10,ZINC00590563
