TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMpartmetal,CHEMparthbond,CHEMparthbondCHO,DON,ACC,UNUSED_DON,UNUSED_ACC,CHEMPLP_CLASH2,TRIPOS_TORS,ATOMS_OUTSIDE_BINDINGSITE
ZINC00590563_entry_00001_conf_01,-100.523,-76.5233,-2.87209,-30.731,-0.206557,-12.7798,-23.394,-2.71684,-92.5513,-1.9839,-80.8053,0,0.448036,0,0,35,0,0,-3.25212,-2.90047,5,3,3,2,0,8.34117,2
ZINC00590563_entry_00001_conf_02,-99.6465,-75.6465,-2.84704,-30.463,-0.204755,-12.6683,-23.1259,-2.76796,-93.4836,-2,-82.3504,0,0.379634,0,1,34,0,0,-3,-2.54275,5,3,4,2,0,8.77375,2
ZINC00590563_entry_00001_conf_03,-96.7367,-72.7367,-2.76391,-29.5734,-0.198776,-12.2984,-22.2364,-2.5457,-83.0784,-1,-74.8973,0,0.277128,0,4,31,0,0,-2.57157,-8.64004,5,3,2,2,2.61532,6.16094,0
ZINC00590563_entry_00001_conf_04,-96.2511,-72.2511,-2.75003,-29.425,-0.197778,-12.2367,-22.0879,-2.60138,-82.5346,-1.86915,-72.4,0,0.294613,0,0,35,0,0,-3,-5.98355,5,3,3,2,0.0116358,6.5742,0
ZINC00590563_entry_00001_conf_05,-95.6942,-71.6942,-2.73412,-29.2547,-0.196634,-12.1659,-21.9177,-2.65817,-86.6935,-1.9408,-77.1274,0,0.39194,0,1,34,0,0,-2.97895,-3,5,3,4,2,0.000572205,7.5669,2
ZINC00590563_entry_00001_conf_06,-93.0488,-69.0488,-2.65854,-28.446,-0.191198,-11.8296,-21.109,-2.58469,-85.5843,0,-76.1429,0,0.207977,0,2,33,0,0,0,-3,5,3,4,3,2.68338,5.56088,0
ZINC00590563_entry_00001_conf_07,-89.503,-65.503,-2.55723,-27.362,-0.183912,-11.3788,-20.025,-2.55723,-83.1699,0,-73.0404,0,0.221663,-0.0728032,2,33,0,0,0,0,5,3,5,3,0,5.50784,0
ZINC00590563_entry_00001_conf_08,-89.1327,-65.1327,-2.54665,-27.2488,-0.183151,-11.3317,-19.9118,-2.47591,-78.3448,-2.73137,-64.6931,0,0.304645,-0.0736008,3,32,0,0,-5.9965,-3,5,3,4,1,0.00658565,7.70008,0
ZINC00590563_entry_00001_conf_09,-88.8678,-64.8678,-2.53908,-27.1678,-0.182607,-11.298,-19.8308,-2.46855,-75.6888,-1,-67.3028,0,0.29175,0,2,33,0,0,-2.75955,-3,5,3,4,2,0.0109884,5.3853,1
ZINC00590563_entry_00001_conf_10,-88.5177,-64.5177,-2.52908,-27.0608,-0.181888,-11.2535,-19.7238,-2.45883,-80.5326,-2,-70.9762,0,1.83957,0,3,32,0,0,-3,-2.66575,5,3,4,2,0.101254,7.87306,0
