LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
ZINC00590563_entry_00001_conf_01,-100.523,-76.5233,-2.87209,-30.731,-0.206557,-12.7798,-23.394,-2.71684,8238600,99.74
ZINC00590563_entry_00001_conf_02,-99.6465,-75.6465,-2.84704,-30.463,-0.204755,-12.6683,-23.1259,-2.76796,8238600,99.74
ZINC00590563_entry_00001_conf_03,-96.7367,-72.7367,-2.76391,-29.5734,-0.198776,-12.2984,-22.2364,-2.5457,8238600,99.74
ZINC00590563_entry_00001_conf_04,-96.2511,-72.2511,-2.75003,-29.425,-0.197778,-12.2367,-22.0879,-2.60138,8238600,99.74
ZINC00590563_entry_00001_conf_05,-95.6942,-71.6942,-2.73412,-29.2547,-0.196634,-12.1659,-21.9177,-2.65817,8238600,99.74
ZINC00590563_entry_00001_conf_06,-93.0488,-69.0488,-2.65854,-28.446,-0.191198,-11.8296,-21.109,-2.58469,8238600,99.74
ZINC00590563_entry_00001_conf_07,-89.503,-65.503,-2.55723,-27.362,-0.183912,-11.3788,-20.025,-2.55723,8238600,99.74
ZINC00590563_entry_00001_conf_08,-89.1327,-65.1327,-2.54665,-27.2488,-0.183151,-11.3317,-19.9118,-2.47591,8238600,99.74
ZINC00590563_entry_00001_conf_09,-88.8678,-64.8678,-2.53908,-27.1678,-0.182607,-11.298,-19.8308,-2.46855,8238600,99.74
ZINC00590563_entry_00001_conf_10,-88.5177,-64.5177,-2.52908,-27.0608,-0.181888,-11.2535,-19.7238,-2.45883,8238600,99.74
